Source,Topic,Content,Code
models,Field name restrictions,"Django places some restrictions on model field names:

A field name cannot be a Python reserved word, because that would result
in a Python syntax error. For example:

A field name cannot contain more than one underscore in a row, due to
the way Django’s query lookup syntax works. For example:

A field name cannot end with an underscore, for similar reasons.

A field name cannot be check, as this would override the check
framework’s Model.check() method.

These limitations can be worked around, though, because your field name doesn’t
necessarily have to match your database column name. See the
db_column option.

SQL reserved words, such as join, where or select, are allowed as
model field names, because Django escapes all database table names and column
names in every underlying SQL query. It uses the quoting syntax of your
particular database engine.","class Example(models.Model):
    pass = models.IntegerField() # 'pass' is a reserved word!


class Example(models.Model):
    foo__bar = models.IntegerField()  # 'foo__bar' has two underscores!"
models,Custom field types,"If one of the existing model fields cannot be used to fit your purposes, or if
you wish to take advantage of some less common database column types, you can
create your own field class. Full coverage of creating your own fields is
provided in How to create custom model fields.",
models,Meta options,"Give your model metadata by using an inner class Meta, like so:

Model metadata is “anything that’s not a field”, such as ordering options
(ordering), database table name (db_table),
or human-readable singular and plural names (verbose_name and
verbose_name_plural). None are required, and adding class
Meta to a model is completely optional.

A complete list of all possible Meta options can be found in the
model option reference.","from django.db import models


class Ox(models.Model):
    horn_length = models.IntegerField()

    class Meta:
        ordering = [""horn_length""]
        verbose_name_plural = ""oxen"""
models,Model attributes,"The most important attribute of a model is the
Manager. It’s the interface through which
database query operations are provided to Django models and is used to
retrieve the instances from the database. If no
custom Manager is defined, the default name is
objects. Managers are only accessible via
model classes, not the model instances.",
models,Model methods,"Define custom methods on a model to add custom “row-level” functionality to
your objects. Whereas Manager methods are intended
to do “table-wide” things, model methods should act on a particular model
instance.

This is a valuable technique for keeping business logic in one place – the
model.

For example, this model has a few custom methods:

The last method in this example is a property.

The model instance reference has a complete list
of methods automatically given to each model.
You can override most of these – see overriding predefined model methods,
below – but there are a couple that you’ll almost always want to define:

A Python “magic method” that returns a string representation of any
object. This is what Python and Django will use whenever a model
instance needs to be coerced and displayed as a plain string. Most
notably, this happens when you display an object in an interactive
console or in the admin.

You’ll always want to define this method; the default isn’t very helpful
at all.

This tells Django how to calculate the URL for an object. Django uses
this in its admin interface, and any time it needs to figure out a URL
for an object.

Any object that has a URL that uniquely identifies it should define this
method.","from django.db import models


class Person(models.Model):
    first_name = models.CharField(max_length=50)
    last_name = models.CharField(max_length=50)
    birth_date = models.DateField()

    def baby_boomer_status(self):
        ""Returns the person's baby-boomer status.""
        import datetime

        if self.birth_date < datetime.date(1945, 8, 1):
            return ""Pre-boomer""
        elif self.birth_date < datetime.date(1965, 1, 1):
            return ""Baby boomer""
        else:
            return ""Post-boomer""

    @property
    def full_name(self):
        ""Returns the person's full name.""
        return f""{self.first_name} {self.last_name}"""
models,Overriding predefined model methods,"There’s another set of model methods that
encapsulate a bunch of database behavior that you’ll want to customize. In
particular you’ll often want to change the way save() and
delete() work.

You’re free to override these methods (and any other model method) to alter
behavior.

A classic use-case for overriding the built-in methods is if you want something
to happen whenever you save an object. For example (see
save() for documentation of the parameters it accepts):

You can also prevent saving:

It’s important to remember to call the superclass method – that’s
that super().save(**kwargs) business – to ensure that the object still
gets saved into the database. If you forget to call the superclass method, the
default behavior won’t happen and the database won’t get touched.

It’s also important that you pass through the arguments that can be
passed to the model method – that’s what the **kwargs bit does. Django
will, from time to time, extend the capabilities of built-in model methods,
adding new keyword arguments. If you use **kwargs in your method
definitions, you are guaranteed that your code will automatically support those
arguments when they are added.

If you wish to update a field value in the save() method, you may
also want to have this field added to the update_fields keyword argument.
This will ensure the field is saved when update_fields is specified. For
example:

See Specifying which fields to save for more details.

Overridden model methods are not called on bulk operations

Note that the delete() method for an object is not
necessarily called when deleting objects in bulk using a
QuerySet or as a result of a cascading
delete. To ensure customized
delete logic gets executed, you can use
pre_delete and/or
post_delete signals.

Unfortunately, there isn’t a workaround when
creating or
updating objects in bulk,
since none of save(),
pre_save, and
post_save are called.","from django.db import models


class Blog(models.Model):
    name = models.CharField(max_length=100)
    tagline = models.TextField()

    def save(self, **kwargs):
        do_something()
        super().save(**kwargs)  # Call the ""real"" save() method.
        do_something_else()


from django.db import models


class Blog(models.Model):
    name = models.CharField(max_length=100)
    tagline = models.TextField()

    def save(self, **kwargs):
        if self.name == ""Yoko Ono's blog"":
            return  # Yoko shall never have her own blog!
        else:
            super().save(**kwargs)  # Call the ""real"" save() method.


from django.db import models
from django.utils.text import slugify


class Blog(models.Model):
    name = models.CharField(max_length=100)
    slug = models.TextField()

    def save(self, **kwargs):
        self.slug = slugify(self.name)
        if (
            update_fields := kwargs.get(""update_fields"")
        ) is not None and ""name"" in update_fields:
            kwargs[""update_fields""] = {""slug""}.union(update_fields)
        super().save(**kwargs)"
models,Executing custom SQL,"Another common pattern is writing custom SQL statements in model methods and
module-level methods. For more details on using raw SQL, see the documentation
on using raw SQL.",
models,Model inheritance,"Model inheritance in Django works almost identically to the way normal
class inheritance works in Python, but the basics at the beginning of the page
should still be followed. That means the base class should subclass
django.db.models.Model.

The only decision you have to make is whether you want the parent models to be
models in their own right (with their own database tables), or if the parents
are just holders of common information that will only be visible through the
child models.

There are three styles of inheritance that are possible in Django.

Often, you will just want to use the parent class to hold information that
you don’t want to have to type out for each child model. This class isn’t
going to ever be used in isolation, so Abstract base classes are
what you’re after.

If you’re subclassing an existing model (perhaps something from another
application entirely) and want each model to have its own database table,
Multi-table inheritance is the way to go.

Finally, if you only want to modify the Python-level behavior of a model,
without changing the models fields in any way, you can use
Proxy models.",
models,Abstract base classes,"Abstract base classes are useful when you want to put some common
information into a number of other models. You write your base class
and put abstract=True in the Meta
class. This model will then not be used to create any database
table. Instead, when it is used as a base class for other models, its
fields will be added to those of the child class.

An example:

The Student model will have three fields: name, age and
home_group. The CommonInfo model cannot be used as a normal Django
model, since it is an abstract base class. It does not generate a database
table or have a manager, and cannot be instantiated or saved directly.

Fields inherited from abstract base classes can be overridden with another
field or value, or be removed with None.

For many uses, this type of model inheritance will be exactly what you want.
It provides a way to factor out common information at the Python level, while
still only creating one database table per child model at the database level.

When an abstract base class is created, Django makes any
Meta inner class you declared in the base class available
as an attribute. If a child class does not declare its own
Meta class, it will inherit the parent’s
Meta. If the child wants to extend the parent’s
Meta class, it can subclass it. For example:

Django does make one adjustment to the Meta class of an
abstract base class: before installing the Meta
attribute, it sets abstract=False. This means that children of abstract
base classes don’t automatically become abstract classes themselves. To make
an abstract base class that inherits from another abstract base class, you need
to explicitly set abstract=True on the child.

Some attributes won’t make sense to include in the Meta
class of an abstract base class. For example, including db_table would mean
that all the child classes (the ones that don’t specify their own
Meta) would use the same database table, which is almost
certainly not what you want.

Due to the way Python inheritance works, if a child class inherits from
multiple abstract base classes, only the Meta options
from the first listed class will be inherited by default. To inherit Meta options from multiple abstract base classes, you must
explicitly declare the Meta inheritance. For example:

If you are using related_name or
related_query_name on a ForeignKey or
ManyToManyField, you must always specify a unique reverse name and query
name for the field. This would normally cause a problem in abstract base
classes, since the fields on this class are included into each of the child
classes, with exactly the same values for the attributes (including
related_name and
related_query_name) each time.

To work around this problem, when you are using
related_name or
related_query_name in an abstract base
class (only), part of the value should contain '%(app_label)s' and
'%(class)s'.

'%(class)s' is replaced by the lowercased name of the child class that
the field is used in.

'%(app_label)s' is replaced by the lowercased name of the app the child
class is contained within. Each installed application name must be unique and
the model class names within each app must also be unique, therefore the
resulting name will end up being different.

For example, given an app common/models.py:

Along with another app rare/models.py:

The reverse name of the common.ChildA.m2m field will be
common_childa_related and the reverse query name will be
common_childas. The reverse name of the common.ChildB.m2m field will be
common_childb_related and the reverse query name will be
common_childbs. Finally, the reverse name of the rare.ChildB.m2m field
will be rare_childb_related and the reverse query name will be
rare_childbs. It’s up to you how you use the '%(class)s' and
'%(app_label)s' portion to construct your related name or related query
name but if you forget to use it, Django will raise errors when you perform
system checks (or run migrate).

If you don’t specify a related_name
attribute for a field in an abstract base class, the default reverse name will
be the name of the child class followed by '_set', just as it normally
would be if you’d declared the field directly on the child class. For example,
in the above code, if the related_name
attribute was omitted, the reverse name for the m2m field would be
childa_set in the ChildA case and childb_set for the ChildB
field.","from django.db import models


class CommonInfo(models.Model):
    name = models.CharField(max_length=100)
    age = models.PositiveIntegerField()

    class Meta:
        abstract = True


class Student(CommonInfo):
    home_group = models.CharField(max_length=5)


from django.db import models


class CommonInfo(models.Model):
    # ...
    class Meta:
        abstract = True
        ordering = [""name""]


class Student(CommonInfo):
    # ...
    class Meta(CommonInfo.Meta):
        db_table = ""student_info""


from django.db import models


class CommonInfo(models.Model):
    name = models.CharField(max_length=100)
    age = models.PositiveIntegerField()

    class Meta:
        abstract = True
        ordering = [""name""]


class Unmanaged(models.Model):
    class Meta:
        abstract = True
        managed = False


class Student(CommonInfo, Unmanaged):
    home_group = models.CharField(max_length=5)

    class Meta(CommonInfo.Meta, Unmanaged.Meta):
        pass


from django.db import models


class Base(models.Model):
    m2m = models.ManyToManyField(
        OtherModel,
        related_name=""%(app_label)s_%(class)s_related"",
        related_query_name=""%(app_label)s_%(class)ss"",
    )

    class Meta:
        abstract = True


class ChildA(Base):
    pass


class ChildB(Base):
    pass


from common.models import Base


class ChildB(Base):
    pass"
models,Multi-table inheritance,"The second type of model inheritance supported by Django is when each model in
the hierarchy is a model all by itself. Each model corresponds to its own
database table and can be queried and created individually. The inheritance
relationship introduces links between the child model and each of its parents
(via an automatically-created OneToOneField).
For example:

All of the fields of Place will also be available in Restaurant,
although the data will reside in a different database table. So these are both
possible:

If you have a Place that is also a Restaurant, you can get from the
Place object to the Restaurant object by using the lowercase version of
the model name:

However, if p in the above example was not a Restaurant (it had been
created directly as a Place object or was the parent of some other class),
referring to p.restaurant would raise a Restaurant.DoesNotExist
exception.

The automatically-created OneToOneField on
Restaurant that links it to Place looks like this:

You can override that field by declaring your own
OneToOneField with parent_link=True on Restaurant.

In the multi-table inheritance situation, it doesn’t make sense for a child
class to inherit from its parent’s Meta class. All the
Meta options have already been applied to the parent
class and applying them again would normally only lead to contradictory
behavior (this is in contrast with the abstract base class case, where the base
class doesn’t exist in its own right).

So a child model does not have access to its parent’s Meta class. However, there are a few limited cases where the child
inherits behavior from the parent: if the child does not specify an
ordering attribute or a
get_latest_by attribute, it will inherit
these from its parent.

If the parent has an ordering and you don’t want the child to have any natural
ordering, you can explicitly disable it:

Because multi-table inheritance uses an implicit
OneToOneField to link the child and
the parent, it’s possible to move from the parent down to the child,
as in the above example. However, this uses up the name that is the
default related_name value for
ForeignKey and
ManyToManyField relations. If you
are putting those types of relations on a subclass of the parent model, you
must specify the related_name
attribute on each such field. If you forget, Django will raise a validation
error.

For example, using the above Place class again, let’s create another
subclass with a ManyToManyField:

This results in the error:

Adding related_name to the customers field as follows would resolve the
error: models.ManyToManyField(Place, related_name='provider').

As mentioned, Django will automatically create a
OneToOneField linking your child
class back to any non-abstract parent models. If you want to control the
name of the attribute linking back to the parent, you can create your
own OneToOneField and set
parent_link=True
to indicate that your field is the link back to the parent class.","from django.db import models


class Place(models.Model):
    name = models.CharField(max_length=50)
    address = models.CharField(max_length=80)


class Restaurant(Place):
    serves_hot_dogs = models.BooleanField(default=False)
    serves_pizza = models.BooleanField(default=False)


>>> Place.objects.filter(name=""Bob's Cafe"")
>>> Restaurant.objects.filter(name=""Bob's Cafe"")


>>> p = Place.objects.get(id=12)
# If p is a Restaurant object, this will give the child class:
>>> p.restaurant
<Restaurant: ...>


place_ptr = models.OneToOneField(
    Place,
    on_delete=models.CASCADE,
    parent_link=True,
    primary_key=True,
)


class ChildModel(ParentModel):
    # ...
    class Meta:
        # Remove parent's ordering effect
        ordering = []


class Supplier(Place):
    customers = models.ManyToManyField(Place)


Reverse query name for 'Supplier.customers' clashes with reverse query
name for 'Supplier.place_ptr'.

HINT: Add or change a related_name argument to the definition for
'Supplier.customers' or 'Supplier.place_ptr'."
